1组_01号_设备状态,MODBUS RTU,4x,1,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0001,16-bit Unsigned
1组_02号_设备状态,MODBUS RTU,4x,2,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0002,16-bit Unsigned
1组_03号_设备状态,MODBUS RTU,4x,3,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0003,16-bit Unsigned
1组_04号_设备状态,MODBUS RTU,4x,4,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0004,16-bit Unsigned
1组_05号_设备状态,MODBUS RTU,4x,5,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0005,16-bit Unsigned
1组_06号_设备状态,MODBUS RTU,4x,6,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0006,16-bit Unsigned
1组_07号_设备状态,MODBUS RTU,4x,7,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0007,16-bit Unsigned
1组_08号_设备状态,MODBUS RTU,4x,8,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0008,16-bit Unsigned
1组_09号_设备状态,MODBUS RTU,4x,9,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0009,16-bit Unsigned
1组_10号_设备状态,MODBUS RTU,4x,10,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0010,16-bit Unsigned
1组_11号_设备状态,MODBUS RTU,4x,11,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0011,16-bit Unsigned
1组_12号_设备状态,MODBUS RTU,4x,12,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0012,16-bit Unsigned
1组_13号_设备状态,MODBUS RTU,4x,13,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0013,16-bit Unsigned
1组_14号_设备状态,MODBUS RTU,4x,14,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0014,16-bit Unsigned
1组_15号_设备状态,MODBUS RTU,4x,15,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0015,16-bit Unsigned
1组_16号_设备状态,MODBUS RTU,4x,16,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0016,16-bit Unsigned
1组_17号_设备状态,MODBUS RTU,4x,17,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0017,16-bit Unsigned
1组_18号_设备状态,MODBUS RTU,4x,18,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0018,16-bit Unsigned
1组_19号_设备状态,MODBUS RTU,4x,19,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0019,16-bit Unsigned
1组_20号_设备状态,MODBUS RTU,4x,20,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0020,16-bit Unsigned
1组_21号_设备状态,MODBUS RTU,4x,21,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0021,16-bit Unsigned
1组_22号_设备状态,MODBUS RTU,4x,22,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0022,16-bit Unsigned
1组_23号_设备状态,MODBUS RTU,4x,23,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0023,16-bit Unsigned
1组_24号_设备状态,MODBUS RTU,4x,24,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0024,16-bit Unsigned
1组_25号_设备状态,MODBUS RTU,4x,25,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0025,16-bit Unsigned
1组_26号_设备状态,MODBUS RTU,4x,26,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0026,16-bit Unsigned
1组_27号_设备状态,MODBUS RTU,4x,27,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0027,16-bit Unsigned
1组_28号_设备状态,MODBUS RTU,4x,28,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0028,16-bit Unsigned
1组_29号_设备状态,MODBUS RTU,4x,29,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0029,16-bit Unsigned
1组_30号_设备状态,MODBUS RTU,4x,30,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0030,16-bit Unsigned
1组_31号_设备状态,MODBUS RTU,4x,31,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0031,16-bit Unsigned
1组_32号_设备状态,MODBUS RTU,4x,32,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0032,16-bit Unsigned
1组_33号_设备状态,MODBUS RTU,4x,33,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0033,16-bit Unsigned
1组_34号_设备状态,MODBUS RTU,4x,34,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0034,16-bit Unsigned
1组_35号_设备状态,MODBUS RTU,4x,35,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0035,16-bit Unsigned
1组_36号_设备状态,MODBUS RTU,4x,36,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0036,16-bit Unsigned
1组_37号_设备状态,MODBUS RTU,4x,37,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0037,16-bit Unsigned
1组_38号_设备状态,MODBUS RTU,4x,38,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0038,16-bit Unsigned
1组_39号_设备状态,MODBUS RTU,4x,39,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0039,16-bit Unsigned
1组_40号_设备状态,MODBUS RTU,4x,40,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0040,16-bit Unsigned
1组_41号_设备状态,MODBUS RTU,4x,41,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0041,16-bit Unsigned
1组_42号_设备状态,MODBUS RTU,4x,42,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0042,16-bit Unsigned
1组_43号_设备状态,MODBUS RTU,4x,43,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0043,16-bit Unsigned
1组_44号_设备状态,MODBUS RTU,4x,44,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0044,16-bit Unsigned
1组_45号_设备状态,MODBUS RTU,4x,45,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0045,16-bit Unsigned
1组_46号_设备状态,MODBUS RTU,4x,46,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0046,16-bit Unsigned
1组_47号_设备状态,MODBUS RTU,4x,47,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0047,16-bit Unsigned
1组_48号_设备状态,MODBUS RTU,4x,48,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0048,16-bit Unsigned
1组_49号_设备状态,MODBUS RTU,4x,49,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0049,16-bit Unsigned
1组_50号_设备状态,MODBUS RTU,4x,50,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0050,16-bit Unsigned
1组_51号_设备状态,MODBUS RTU,4x,51,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0051,16-bit Unsigned
1组_52号_设备状态,MODBUS RTU,4x,52,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0052,16-bit Unsigned
1组_53号_设备状态,MODBUS RTU,4x,53,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0053,16-bit Unsigned
1组_54号_设备状态,MODBUS RTU,4x,54,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0054,16-bit Unsigned
1组_55号_设备状态,MODBUS RTU,4x,55,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0055,16-bit Unsigned
1组_56号_设备状态,MODBUS RTU,4x,56,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0056,16-bit Unsigned
1组_57号_设备状态,MODBUS RTU,4x,57,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0057,16-bit Unsigned
1组_58号_设备状态,MODBUS RTU,4x,58,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0058,16-bit Unsigned
1组_59号_设备状态,MODBUS RTU,4x,59,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0059,16-bit Unsigned
1组_60号_设备状态,MODBUS RTU,4x,60,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0060,16-bit Unsigned
2组_01号_设备状态,MODBUS RTU,4x,61,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0061,16-bit Unsigned
2组_02号_设备状态,MODBUS RTU,4x,62,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0062,16-bit Unsigned
2组_03号_设备状态,MODBUS RTU,4x,63,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0063,16-bit Unsigned
2组_04号_设备状态,MODBUS RTU,4x,64,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0064,16-bit Unsigned
2组_05号_设备状态,MODBUS RTU,4x,65,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0065,16-bit Unsigned
2组_06号_设备状态,MODBUS RTU,4x,66,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0066,16-bit Unsigned
2组_07号_设备状态,MODBUS RTU,4x,67,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0067,16-bit Unsigned
2组_08号_设备状态,MODBUS RTU,4x,68,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0068,16-bit Unsigned
2组_09号_设备状态,MODBUS RTU,4x,69,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0069,16-bit Unsigned
2组_10号_设备状态,MODBUS RTU,4x,70,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0070,16-bit Unsigned
2组_11号_设备状态,MODBUS RTU,4x,71,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0071,16-bit Unsigned
2组_12号_设备状态,MODBUS RTU,4x,72,设备状态：0停止、1运行、>=2故障/异常；原昆仑变量:设备0_读写4WUB0072,16-bit Unsigned
